# gt	L=5	L=7	L=9	L=11	L=21	L=31	L=41	L=51	L=61	L=71	L=81	L=91	L=101	L=201	L=301	L=401	L=501	L=601	L=701	L=801	L=901
2.624050e+03	3.232758e-01	4.159567e-02	2.671352e-01	4.485409e-01	3.442367e-02	2.822944e-02	1.295545e-01	3.381066e-02	1.423530e-01	6.020017e-02	9.150286e-02	2.216041e-02	4.871480e-02	6.813972e-02	6.935758e-02	8.352174e-02	1.855234e-02	2.702175e-03	1.155929e-02	3.333638e-02	3.741681e-03
2.624600e+03	5.187869e-01	3.822448e-01	9.680093e-02	7.578439e-02	3.460739e-01	1.339060e-01	1.133176e-01	9.223303e-02	8.071509e-02	5.150658e-02	1.024350e-01	1.202981e-01	1.119488e-01	1.238375e-01	5.309337e-02	5.597718e-02	1.704050e-02	3.237400e-02	5.873012e-02	1.887675e-02	4.186713e-02
2.625150e+03	6.069272e-02	2.179718e-01	3.866758e-01	4.168284e-01	2.109316e-01	5.301370e-02	7.881442e-02	2.182445e-01	1.701083e-01	1.890296e-02	1.508151e-01	4.140294e-02	8.930879e-02	1.566851e-01	6.113990e-02	7.520853e-02	2.977550e-02	2.268520e-02	3.170291e-02	1.160509e-02	2.297446e-02
2.625700e+03	3.388918e-01	2.440095e-01	1.579052e-01	3.165105e-01	5.708107e-02	7.576065e-02	7.842947e-02	9.757459e-02	8.547464e-02	3.919933e-02	8.018378e-02	7.235673e-02	4.967347e-02	7.282205e-02	4.963162e-02	5.683843e-02	1.986803e-02	1.512275e-02	1.381313e-02	2.498025e-02	9.619528e-03
2.626250e+03	2.381020e-01	1.493544e-01	1.538003e-01	2.877109e-01	1.643888e-01	7.738894e-02	8.474943e-02	1.612423e-01	1.291005e-01	2.768893e-02	1.118138e-01	5.297397e-02	1.247986e-01	9.285473e-02	9.472195e-02	6.972355e-02	1.713721e-02	1.967508e-02	1.881272e-02	2.693589e-02	2.196343e-02
2.626800e+03	3.425110e-01	1.339265e-01	1.676939e-01	1.663851e-01	2.363579e-01	1.284744e-01	6.562008e-02	1.284521e-01	1.395237e-01	2.339558e-02	1.212564e-01	1.093199e-01	9.312348e-02	1.496879e-01	4.128733e-02	7.834200e-02	4.734530e-02	4.079823e-02	5.338159e-02	2.287178e-02	4.574066e-02
2.627350e+03	3.394331e-01	3.432628e-01	1.869508e-01	3.868301e-01	5.591934e-02	1.360084e-01	9.691127e-02	1.842108e-01	1.088434e-01	3.172963e-02	1.237891e-01	1.128964e-01	5.620674e-02	1.196334e-01	4.774640e-02	4.450783e-02	1.906984e-02	1.179946e-02	1.197748e-02	7.883788e-03	6.875251e-03
2.627900e+03	2.440905e-01	1.749852e-01	3.333026e-01	2.800743e-01	1.688521e-01	5.025816e-02	1.056592e-02	5.099762e-02	8.460266e-02	7.008444e-02	6.383555e-02	4.565479e-02	9.530240e-02	8.432337e-02	9.461068e-02	8.608010e-02	2.122917e-02	1.217687e-02	1.796702e-02	2.368438e-02	1.457549e-02
2.628450e+03	2.754916e-01	1.039168e-01	6.853419e-02	1.909762e-01	1.742586e-01	1.220771e-01	6.726295e-02	1.855412e-01	6.254347e-02	3.210654e-02	1.472143e-01	1.049632e-01	1.564768e-01	1.179692e-01	7.965844e-02	6.715723e-02	3.235831e-02	2.259850e-02	2.551969e-02	1.293882e-02	2.155180e-02
2.629000e+03	2.781826e-01	2.923966e-01	2.542641e-01	2.007538e-01	2.401805e-02	9.076432e-02	7.396176e-02	1.075285e-01	1.591340e-01	6.326068e-02	1.055970e-01	8.967596e-02	6.975047e-02	1.538178e-01	2.707399e-02	6.430257e-02	3.118160e-02	4.898563e-03	2.749735e-02	2.728809e-02	1.447632e-02
2.629550e+03	4.368186e-01	5.414104e-01	2.177091e-01	2.466102e-01	3.209605e-01	1.916703e-01	3.395124e-02	1.196433e-01	5.924742e-02	5.165631e-02	8.375675e-02	1.210915e-01	2.106644e-02	8.836311e-02	6.292573e-02	5.147026e-02	1.323768e-02	4.144776e-02	1.256787e-02	1.255827e-02	3.114715e-02
2.630100e+03	2.689177e-01	1.685960e-01	3.095061e-01	2.712723e-01	1.593336e-01	1.409860e-01	3.393896e-02	8.436781e-02	9.675574e-02	2.434975e-02	1.067542e-01	3.946643e-02	1.898854e-01	1.003565e-01	8.239891e-02	9.373076e-02	4.271396e-02	1.983433e-02	2.220581e-02	1.150396e-02	1.598647e-02
2.630650e+03	3.089060e-01	1.473777e-01	1.004075e-01	1.472157e-01	4.541181e-02	1.036232e-01	3.966687e-02	9.992122e-02	6.870833e-02	4.209052e-02	1.316855e-01	1.103443e-01	1.476048e-01	1.388817e-01	2.339367e-02	5.895256e-02	1.940233e-02	3.493710e-03	1.549569e-02	2.777398e-02	1.237087e-02
2.631200e+03	2.643659e-01	4.499070e-01	3.510209e-01	1.821003e-01	2.088276e-01	1.852029e-01	2.630823e-02	2.008411e-01	1.647135e-01	9.851662e-02	8.279793e-02	8.444238e-02	4.926455e-02	1.193277e-01	5.441165e-02	5.795363e-02	9.136211e-03	3.907930e-02	1.358531e-02	2.491259e-02	2.306216e-02
